Rank,Handle,Codeforces_Handle,Codeforces_Rating,GFG_Handle,GFG_Contest_Score,GFG_Practice_Score,Leetcode_Handle,Leetcode_Rating,Codechef_Handle,Codechef_Rating,HackerRank_Handle,HackerRank_Practice_Score,Percentile
95,21r01a05j9,21r01a05j9,838,21r01a05j9,40,25,21r01a05j9,1587,cmr_21r01a05j9,1058,21r01a05j9,5,36.79%
96,21r01a0558,cmrit25_21r01a0558,803,nischaypq24,80,0,user0322sl,1269,nischayreddy,1243,nischayreddy_t,0,36.75%
97,22r05a0521,cmrit25_22r05a0521,765,22r05a0521,40,28,22r05a0521,1436,dhanu521,1150,22r05a0521,179,36.67%
98,22r05a0416,cmrit25_22r05a0416,757,22r05a8kn1,20,5,22r05a0416,1561,charithasree27,1241,22r05a0416,228,36.57%
99,22r05a0518,22r05a0518,930,22r05a0518,0,0,22r05a0518,1560,venu22r05a0518,1119,22r05a0518,50,36.52%
100,21r01a6602,21r01a6602,774,21r01a6602,19,12,cmr_21r01a6602,1438,cmr_21r01a6602,1262,21r01a6602,227,36.45%
101,21r01a0593,cmrit25_21r01a0593,948,21r01a0593,0,0,21r01a0593,1271,vishnu_593,1073,kvv21r01a0593,212,36.44%
102,21r01a05j6,cmrit25_21r01a05j6,774,21r01awu1y,60,9,21r01a05j6,1415,hima21r01a05j6,1267,21r01a05j6,5,36.37%
103,21r01a67f6,21r01a67f6,870,21r01a67f6,10,0,akshaj06,1563,cmr_21r01a67f6,1280,akshaj,0,36.35%
104,21r01a05p4,cmrit25_21r01a05p4,810,21r01a05p4,49,16,21r01a05p4,1314,cmr_21r01a05p4,1074,21r01a05p4,147,36.27%
105,21r01a0552,21r01a0552,818,21r01a0552,30,1,21r01a0552,1432,shravani52,1050,21r01a0552,206,36.11%
106,21r01a0508,cmrit25_21r01a0508,817,21r01a0508,29,0,21r01a0508,1349,vishnupriya508,1357,21r01a0508,55,35.99%
107,21r01a6693,21r01a6693,842,21r01alz21,10,0,adithya2210,1371,adithya2210,1307,21r01a6693,124,35.96%
108,21r01a05h3,cmrit25_21r01a05h3,835,prashanthn60z,30,0,prashanth_padige07,1362,prashanth64,1324,21r01a05h3,12,35.88%
109,21r01a6689,cmrit25_21r01a6689,802,21r01a6689,0,31,ashwini_21r01a6689,1427,ashu21r01a6689,1079,21r01a6689,279,35.81%
110,21r01a66b0,cmrit25_21r01a66b0,780,21r01ae3yc,10,100,21r01a66b0,1472,yashwanthh,922,21r01a66b0,147,35.8%
111,21r01a0410,21r01a0410,809,21r01a0410,30,4,21r01a0410,1577,shivani_0410,1132,21r01a0410,32,35.72%
112,21r01a6796,21r01a6796,848,21r01a6796,20,0,21r01a6796,1540,jukantisoumya9,1091,21r01a6796,50,35.58%
113,21r01a6795,cmrit25_21r01a6795,891,,0,0,upendra456,1550,upendra456,1110,21r01a6795,50,35.58%
114,21r01a6687,cmrit25_21r01a6687,766,21r01a6687,9,44,ashwitha1702,1474,ashwitha3610,781,21r01a6687,408,35.55%
115,21r01a7309,cmrit25_21r01a7309,866,21r01a7309,0,0,21r01a7309,1609,abhinav_781,1145,21r01a7309,35,35.48%
116,21r01a67k3,cmrit25_21r01a67k3,755,21r01a67k3,49,1,charan_k3,1438,v21r01a67k3,1287,charan_k3,0,35.36%
117,21r01a66a6,cmrit25_21r01a66a6,844,21r01ac1bc,0,21,yousufansari,1412,yousufansari,1087,21r01a66a6,171,35.35%
118,21r01a6714,cmrit25_21r01a6714,761,21r01a6714,0,14,21r01a6714,1478,cmr_21r01a6714,1429,21r01a6714,106,35.32%
119,21r01a05p5,cmrit25_21r01a05p5,772,21r01a05p5,50,18,21r01a05p5,1242,cmr_21r01a05p5,1137,21r01a05p5,119,35.27%
120,21r01a67b1,cmrit25_21r01a67b1,816,21r01ari5z,30,0,21r01a67b1,1554,cmr_21r01a67b1,1091,21r01a67b1,20,35.25%
121,21r01a05g6,cmrit25_21r01a05g6,718,21r01a05g6,40,22,21r01a05g6,1408,cmr_21r01a05g6,1207,21r01a05g6,107,35.01%
122,21r01a6765,cmrit25_21r01a6765,896,21r01a6765,0,0,21r01a6765,1351,h21r01a6765,1129,21r01a6765,90,35%
123,21r01a0544,cmrit25_21r01a0544,782,21r01a0544,20,26,sushma_2374,1422,sushma_2374,1030,21r01a0544,167,34.93%
124,21r01a6715,vivekdunuka,744,vivek_6715,49,2,dunukavivek,1444,vivekdunuka,1243,21r01a6715,0,34.92%
125,21r01a66b1,cmrit25_21r01a66b1,797,21r01a66b1,10,0,21r01a66b1,1414,nishanth069,1210,21r01a66b1,141,34.82%
126,21r01a7209,21r01a7209,766,21r01a7209,20,11,sindhu_21r01a7209,1419,sindhuja_9849,1088,21r01a7209,197,34.82%
127,21r01a05f1,cmrit25_21r01a05f1,847,21r01a05f1,10,15,21r01a05f1,1368,vynika2004,1036,21r01a05f1,128,34.8%
128,21r01a66b5,cmrit25_21r01a66b5,745,21r01ax5wh,78,0,21r01a66b5,1285,jagadeesh55,1040,21r01a66b5,35,34.58%
129,21r01a6635,cmrit25_21r01a6635,867,mdabdulkadeer,0,11,mdabdulkadeer,1271,mdabdulkadeer,1140,21r01a6635,115,34.52%
130,21r01a67j7,cmrit25_21r01a67j7,774,manohar7j7,18,17,21r01a67j7,1349,cmr_21r01a67j7,1113,21r01a67j7,165,34.47%
131,22r05a0406,cmrit25_22r05a0406,720,22r05a8g5o,20,0,22r05a0406,1551,akhilreddy_13,1302,22r05a0406,68,34.44%
132,21r01a05d6,cmrit25_21r01a05d6,758,21r01a05d6,69,0,21r01a05d6,1370,julie14,994,21r01a05d6,15,34.39%
133,21r01a66a9,21r01a66a9,928,21r01adbxu,0,9,21r01a66a9,1408,cmr_21r01a66a9,779,21r01a66a9,121,34.36%
134,21r01a6665,21r01a6665,763,21r01a6665,37,30,abhishekabramaina,1377,abhishek202002,1085,21r01a6665,31,34.34%
135,21r01a66c4,cmrit25_21r01a66c4,801,nithhyya,0,0,nithya66c4,1343,nithhyya,1305,21r01a66c41,120,34.33%
136,21r01a6669,cmrit25_21r01a6669,798,21r01apm60,135,12,21r01a6669,1322,21r01a6669,0,21r01a6669,182,34.24%
137,21r01a6699,cmrit25_21r01a6699,830,21r01ay00k,0,0,aparna_235,1411,aparna_235,1013,21r01a6699,194,34.23%
138,21r01a0585,21r01a0585,799,21r01a0585,0,8,agent_storm,1445,agent_storm,1331,agent_storm10,0,34.13%
139,21r01a7233,cmrit25_21r01a7233,802,siddu99,9,2,21r01a7233,1425,siddu99,1249,21r01a7233,20,34.08%
140,21r01a66a5,cmrit25_21r01a66a5,802,21r01al8fu,0,0,21r01a66a5,1317,cmr_21r01a66a5,1327,21r01a66a5,90,34.05%
141,21r01a66d5,cmrit25_21r01a66d5,753,21r01a66d5,9,22,21r01a66d5,1442,akhil7777,1031,21r01a66d5,196,34.01%
142,22r05a6611,cmrit25_22r05a6611,843,22r05a6611,0,13,22r05a6611,1430,sinu19,973,22r05a6611,117,33.98%
143,21r01a6766,cmrit25_21r01a6766,853,,0,0,srinidhi_12,1472,jerry1002,1130,cmrit25_21r01a6766,0,33.95%
144,21r01a0441,21r01a0441,761,21r01a0441,37,2,21r01a0441,1375,sunil441,1005,21r01a0441,97,33.65%
145,21r01a67h4,cmrit25-21r01a67h4,827,21r01acdlh,0,0,pranay_kumar45,1404,pranaykumar45,1154,21r01a67h4,42,33.55%
146,21r01a66a2,cmrit25_21r01a66a2,793,sandy_m0,10,18,sandeepmanepally,1339,sandy_m0,1119,21r01a66a2,70,33.53%
147,22r05a6618,cmrit25_22r05a6618,761,22r05a1feu,40,0,naveen1008,1355,velpulanaveen9,1012,22r05a6618,80,33.52%
148,21r01a6670,cmrit25_21r01a6670,800,vidhya_6670,0,0,vidhya_6670,1409,vidhya_6670,1291,vidhya_6670,0,33.47%
149,21r01a7262,cmrit25_21r01a7262,794,21r01a7262,0,5,21r01a7262,1408,sai_vivek04,1070,21r01a7262,132,33.35%
150,21r01a04e6,cmrit25_21r01a04e6,578,gmuma_16,10,58,gmumamaheswararao,1563,gmuma_16,1032,21r01a04e6,323,33.3%
151,21r01a6633,cmrit25_21r01a6633,779,21r01a6633,0,6,sairam_sagar,1379,sairam_33,986,cmrit_21r01a6633,210,33.11%
152,21r01a0484,cmrit25_21r01a0484,757,akankshagof5fs,0,0,akanksha2k23,1509,akanksha2k23,804,21r01a0484,295,32.93%
153,21r01a66h5,cmrit25_21r01a66h5,756,21r01a66h5,0,23,21r01a66h5,1262,pavithra_12,909,21r01a66h5,277,32.55%
154,21r01a05j7,vishnuabhi,705,21r01a05j7,30,0,cmr_21r01a05j7,1444,vishnu_5j7,1165,21r01a05j7,0,32.51%
155,21r01a05m7,21r01a05m7,781,21r01a05m7,0,7,21r01a05m7,1409,prasad_00,1039,21r01a05m7,82,32.46%
156,21r01a0429,cmrit25_21r01a0429,461,21r01a0429,119,0,21r01a0429,1503,cmr_21r01a0429,1118,21r01a0429,15,32.41%
157,21r01a05d7,cmrit25_21r01a05d7,771,21r01a05d7,20,2,21r01a05d7,1421,akanksha_0304,992,21r01a05d7,15,32.34%
158,21r01a67c1,cmrit25_21r01a67c1,595,21r01awf3x,50,2,21r01a67c1p,1569,r01a67c1,1175,21r01a67c1,15,32.28%
